Curso;Dia;Dia semana;Tipo
;11/04/2015;S;FDS
;12/04/2015;D;FDS
14/15;13/04/2015;L;
14/15;14/04/2015;M;
14/15;15/04/2015;X;
14/15;16/04/2015;J;
14/15;17/04/2015;V;
;18/04/2015;S;FDS
;19/04/2015;D;FDS
14/15;20/04/2015;L;
14/15;21/04/2015;M;
14/15;22/04/2015;X;
;23/04/2015;J;SD
;24/04/2015;V;SD
;25/04/2015;S;FDS
;26/04/2015;D;FDS
;27/04/2015;L;SD
;28/04/2015;M;SD
;29/04/2015;X;SD
;30/04/2015;J;SD
;01/05/2015;V;SD
;02/05/2015;S;FDS
;03/05/2015;D;FDS
;04/05/2015;L;SD
;05/05/2015;M;SD
;06/05/2015;X;SD
;07/05/2015;J;SD
;08/05/2015;V;SD
;09/05/2015;S;FDS
;10/05/2015;D;FDS
;11/05/2015;L;SD
;12/05/2015;M;SD
;13/05/2015;X;SD
;14/05/2015;J;SD
;15/05/2015;V;SD
;16/05/2015;S;FDS
;17/05/2015;D;FDS
;18/05/2015;L;SD
;19/05/2015;M;SD
;20/05/2015;X;SD
;21/05/2015;J;SD
;22/05/2015;V;SD
;23/05/2015;S;FDS
;24/05/2015;D;FDS
;25/05/2015;L;SD
;26/05/2015;M;SD
